"","Rank","Track","Artist","Streams","Date"
"1",1,"At My Worst","Pink Sweat$",345103,2021-01-07
"2",2,"Bertaut","Nadin Amizah",309487,2021-01-07
"3",3,"Snowman","Sia",264277,2021-01-07
"4",4,"Blue Jeans","GANGGA",253654,2021-01-07
"5",5,"Melukis Senja","Budi Doremi",252445,2021-01-07
"6",6,"Mungkin Hari Ini Esok Atau Nanti","Anneth",235751,2021-01-07
"7",7,"34+35","Ariana Grande",201938,2021-01-07
"8",8,"Life Goes On","BTS",177384,2021-01-07
"9",9,"Cuek","Rizky Febian",175481,2021-01-07
"10",10,"Dynamite","BTS",154176,2021-01-07
"11",11,"I Just Couldn't Save You Tonight (feat. Aurélie) - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",148061,2021-01-07
"12",12,"Resah Jadi Luka","Daun Jatuh",140393,2021-01-07
"13",13,"Anyone","Justin Bieber",139386,2021-01-07
"14",14,"Maafkan Aku #terlanjurmencinta","Tiara Andini",137210,2021-01-07
"15",15,"Heather","Conan Gray",136988,2021-01-07
"16",16,"Sofia","Clairo",135261,2021-01-07
"17",17,"positions","Ariana Grande",135053,2021-01-07
"18",18,"happy","Skinnyfabs",133583,2021-01-07
"19",19,"Sudah - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",130433,2021-01-07
"20",20,"Into Your Arms (feat. Ava Max)","Witt Lowry",125596,2021-01-07
"21",21,"Makna Cinta","Rizky Febian",123034,2021-01-07
"22",22,"Before You Go","Lewis Capaldi",116537,2021-01-07
"23",23,"Stuck with U (with Justin Bieber)","Ariana Grande",109117,2021-01-07
"24",24,"Kukira Kau Rumah","Amigdala",106039,2021-01-07
"25",25,"Lonely (with benny blanco)","Justin Bieber",105599,2021-01-07
"26",26,"One Only","Pamungkas",102251,2021-01-07
"27",27,"Blueberry Eyes (feat. SUGA of BTS)","MAX",102140,2021-01-07
"28",28,"Lose","NIKI",100747,2021-01-07
"29",29,"Monolog","Pamungkas",97143,2021-01-07
"30",30,"Bahasa Kalbu","Raisa, Andi Rianto",96589,2021-01-07
"31",31,"Lovesick Girls","BLACKPINK",95413,2021-01-07
"32",32,"Kenangan Manis","Pamungkas",94591,2021-01-07
"33",33,"you broke me first","Tate McRae",94143,2021-01-07
"34",34,"Backyard Boy (with Jeremy Zucker)","Claire Rosinkranz",89121,2021-01-07
"35",35,"Someone You Loved","Lewis Capaldi",88868,2021-01-07
"36",36,"Reflection - From ""Mulan""","Yura Yunita, SIVIA, Agatha Pricilla, Nadin Amizah",88450,2021-01-07
"37",37,"Pura Pura Lupa","Mahen",87404,2021-01-07
"38",38,"Luka Yang Kurindu","Mahen",86051,2021-01-07
"39",39,"Kau Lagi","Celine & Nadya",85788,2021-01-07
"40",40,"Secukupnya","Hindia",84080,2021-01-07
"41",41,"Mood (feat. iann dior)","24kGoldn",82877,2021-01-07
"42",42,"Adaptasi","Tulus",82737,2021-01-07
"43",43,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",81968,2021-01-07
"44",44,"Waktu Yang Salah","Fiersa Besari, Thantri Sundari",81269,2021-01-07
"45",45,"Sesuatu Di Jogja","Adhitia Sofyan",78493,2021-01-07
"46",46,"Tanpa Batas Waktu - 8D Version","Ade Govinda, Fadly",76814,2021-01-07
"47",47,"I Love You but I'm Letting Go","Pamungkas",75791,2021-01-07
"48",48,"bitterlove","Ardhito Pramono",72373,2021-01-07
"49",49,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Fiersa Besari",70193,2021-01-07
"50",50,"Heartbreak Anniversary","Giveon",68605,2021-01-07
"51",51,"Black Mamba","aespa",68072,2021-01-07
"52",52,"What You Know Bout Love","Pop Smoke",67243,2021-01-07
"53",53,"I Still Love You","TheOvertunes",64244,2021-01-07
"54",54,"Figurinha - Ao Vivo","Douglas & Vinicius, MC Bruninho",63045,2021-01-07
"55",55,"Mad at Disney","salem ilese",62847,2021-01-07
"56",56,"Rumah Ke Rumah","Hindia",62012,2021-01-07
"57",57,"Memories","Maroon 5",60467,2021-01-07
"58",58,"lowkey","NIKI",59064,2021-01-07
"59",59,"Selaras","Kunto Aji, Nadin Amizah",58864,2021-01-07
"60",60,"How You Like That","BLACKPINK",58291,2021-01-07
"61",61,"Day & Night","Jung Seung Hwan",56716,2021-01-07
"62",62,"LATHI (with Sara Fajira)","Weird Genius",56549,2021-01-07
"63",63,"Closure","Pamungkas",56460,2021-01-07
"64",64,"Ekspektasi","Okin, Ocan Siagian",56355,2021-01-07
"65",65,"willow","Taylor Swift",55158,2021-01-07
"66",66,"Mariposa","Peach Tree Rascals",54176,2021-01-07
"67",67,"Tolong","Budi Doremi",54039,2021-01-07
"68",68,"You Got It","Vedo",53279,2021-01-07
"69",69,"La La Lost You - Acoustic Version","NIKI, 88rising",53077,2021-01-07
"70",70,"Bentuk Cinta","Eclat Story",52224,2021-01-07
"71",71,"Aku Yang Salah","Elmatu",51740,2021-01-07
"72",72,"Rehat","Kunto Aji",51260,2021-01-07
"73",73,"Ice Cream (with Selena Gomez)","BLACKPINK",51133,2021-01-07
"74",74,"Terlalu Cinta","Rossa",51010,2021-01-07
"75",75,"Psycho","Red Velvet",50780,2021-01-07
"76",76,"Hey Stupid, I Love You","JP Saxe",50537,2021-01-07
"77",77,"Rumpang","Nadin Amizah",50492,2021-01-07
"78",78,"Tanpa Tergesa","Juicy Luicy",50256,2021-01-07
"79",79,"Fly Me to the Moon","The Macarons Project",49989,2021-01-07
"80",80,"Make A Wish (Birthday Song)","NCT U",49311,2021-01-07
"81",81,"Adu Rayu","Yovie Widianto, Tulus, Glenn Fredly",48879,2021-01-07
"82",82,"Afterglow","Ed Sheeran",48814,2021-01-07
"83",83,"if u could see me cryin' in my room","Arash Buana, raissa anggiani",48793,2021-01-07
"84",84,"I Love You 3000","Stephanie Poetri",48523,2021-01-07
"85",85,"To the Bone","Pamungkas",47807,2021-01-07
"86",86,"Sorai","Nadin Amizah",47415,2021-01-07
"87",87,"Tanya Hati","Pasto",46866,2021-01-07
"88",88,"Don't Watch Me Cry","Alex Porat",46810,2021-01-07
"89",89,"Perlahan","Guyon Waton",46609,2021-01-07
"90",90,"Sedang Sayang Sayangnya","Mawar de Jongh",46518,2021-01-07
"91",91,"Celengan Rindu","Fiersa Besari",46179,2021-01-07
"92",92,"90's Love","NCT U",46108,2021-01-07
"93",93,"Di Persimpangan Dilema","Terry",46104,2021-01-07
"94",94,"Intentions (feat. Quavo)","Justin Bieber",45892,2021-01-07
"95",95,"Lebih Dari Egoku","Mawar de Jongh",45392,2021-01-07
"96",96,"I CAN'T STOP ME","TWICE",45257,2021-01-07
"97",97,"eight(Prod.&Feat. SUGA of BTS)","IU",45176,2021-01-07
"98",98,"Train Wreck","James Arthur",45141,2021-01-07
"99",99,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685, Jason Derulo",45111,2021-01-07
"100",100,"comethru","Jeremy Zucker",45017,2021-01-07
"101",101,"Hal Indah Butuh Waktu Untuk Datang","Idgitaf",45011,2021-01-07
"102",102,"Sweet Scar","Weird Genius, Prince Husein, Eka Gustiwana, Reza Oktovian, Billy Taner",44957,2021-01-07
"103",103,"Okay Dokey","MINO, ZICO",44357,2021-01-07
"104",104,"Copines","Aya Nakamura",44224,2021-01-07
"105",105,"Boy With Luv (feat. Halsey)","BTS",44049,2021-01-07
"106",106,"Good Days","SZA",43877,2021-01-07
"107",107,"Garis Terdepan","Fiersa Besari",43557,2021-01-07
"108",108,"Untuk Perempuan Yang Sedang Di Pelukan","Payung Teduh",42839,2021-01-07
"109",109,"Lara","Dialog Senja",42821,2021-01-07
"110",110,"Future","Red Velvet",42767,2021-01-07
"111",111,"Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3","Maudy Ayunda",42729,2021-01-07
"112",112,"Bicara (feat. Monita Tahalea)","TheOvertunes",42544,2021-01-07
"113",113,"2002","Anne-Marie",42057,2021-01-07
"114",114,"Running","Gaho",41893,2021-01-07
"115",115,"Cinta Luar Biasa","Andmesh",41860,2021-01-07
"116",116,"Weak","SWV",41741,2021-01-07
"117",117,"death bed (coffee for your head)","Powfu, beabadoobee",41556,2021-01-07
"118",118,"Selamat (Selamat Tinggal)","Virgoun, Audy",41529,2021-01-07
"119",119,"Melawan Hati","Fiersa Besari, Prinsa Mandagie",41480,2021-01-07
"120",120,"Say You Won't Let Go","James Arthur",41416,2021-01-07
"121",121,"Halu","FePutri",41189,2021-01-07
"122",122,"April","Fiersa Besari",40718,2021-01-07
"123",123,"Mantra Cinta","Rizky Febian",40430,2021-01-07
"124",124,"Dan...","Sheila On 7",40335,2021-01-07
"125",125,"Bad Liar","Imagine Dragons",39790,2021-01-07
"126",126,"Rayu","Marion Jola, Laleilmanino",39748,2021-01-07
"127",127,"Kenangan Terindah","SAMSONS",39609,2021-01-07
"128",128,"Pretty Savage","BLACKPINK",39393,2021-01-07
"129",129,"Best Part (feat. Daniel Caesar)","H.E.R.",39333,2021-01-07
"130",130,"Kangen","Dewa 19",39235,2021-01-07
"131",131,"Play Date","Melanie Martinez",39127,2021-01-07
"132",132,"10,000 Hours (with Justin Bieber)","Dan + Shay",38866,2021-01-07
"133",133,"Monokrom","Tulus",38014,2021-01-07
"134",134,"Dekat Di Hati","RAN",37660,2021-01-07
"135",135,"Blue & Grey","BTS",37178,2021-01-07
"136",136,"Tak Sanggup Melupa #terlanjurmencinta","Ziva Magnolya",36994,2021-01-07
"137",137,"Sorry","Pamungkas",36616,2021-01-07
"138",138,"Night Changes","One Direction",36537,2021-01-07
"139",139,"Ruang Rindu","Letto",36455,2021-01-07
"140",140,"It's You","Ali Gatie",36279,2021-01-07
"141",141,"Mmmh","KAI",36036,2021-01-07
"142",142,"Therefore I Am","Billie Eilish",35763,2021-01-07
"143",143,"Some","BOL4",35491,2021-01-07
"144",144,"Harusnya Aku","Armada",35410,2021-01-07
"145",145,"I Like Me Better","Lauv",35282,2021-01-07
"146",146,"pov","Ariana Grande",35219,2021-01-07
"147",147,"Cinta Dan Rahasia","Yura Yunita, Glenn Fredly",35129,2021-01-07
"148",148,"Takkan Terganti","Marcell",35086,2021-01-07
"149",149,"Kartonyono Medot Janji","Denny Caknan",34988,2021-01-07
"150",150,"Nyaman","Andmesh",34947,2021-01-07
"151",151,"Langit Abu-Abu","Tulus",34884,2021-01-07
"152",152,"Indah Pada Waktunya","Rizky Febian, Aisyah Aziz",34808,2021-01-07
"153",153,"Januari","Glenn Fredly",34657,2021-01-07
"154",154,"cigarettes of ours","Ardhito Pramono",34581,2021-01-07
"155",155,"Fana Merah Jambu","Fourtwnty",34458,2021-01-07
"156",156,"Membasuh","Hindia, Rara Sekar",34353,2021-01-07
"157",157,"I Like You so Much, You’ll Know It","AVIWKILA",34335,2021-01-07
"158",158,"RESONANCE","NCT 2020",34137,2021-01-07
"159",159,"Holy (feat. Chance The Rapper)","Justin Bieber",34130,2021-01-07
"160",160,"Wonder","Shawn Mendes",34068,2021-01-07
"161",161,"Tukar Jiwa","Tulus",33902,2021-01-07
"162",162,"Best Friend","Rex Orange County",33827,2021-01-07
"163",163,"Strawberries & Cigarettes","Troye Sivan",33818,2021-01-07
"164",164,"Pilu Membiru","Kunto Aji",33716,2021-01-07
"165",165,"If the World Was Ending - feat. Julia Michaels","JP Saxe",33475,2021-01-07
"166",166,"Jangan Rubah Takdirku","Andmesh",33459,2021-01-07
"167",167,"I.F.L.Y.","Bazzi",33342,2021-01-07
"168",168,"Soulmate","Kahitna",33268,2021-01-07
"169",169,"lovely (with Khalid)","Billie Eilish",33141,2021-01-07
"170",170,"Amin Paling Serius","Sal Priadi, Nadin Amizah",33112,2021-01-07
"171",171,"From Home","NCT U",33036,2021-01-07
"172",172,"Señorita","Shawn Mendes, Camila Cabello",32954,2021-01-07
"173",173,"Given-Taken","ENHYPEN",32713,2021-01-07
"174",174,"Rindu Dalam Hati","Arsy Widianto, Brisia Jodie",32541,2021-01-07
"175",175,"NUNU NANA","Jessi",32458,2021-01-07
"176",176,"Not Shy","ITZY",32455,2021-01-07
"177",177,"You","Ten2Five",32366,2021-01-07
